Year,Month,ShopName,Item,Quantity,Total,Wholesale,Profit
2022,October,Gampaha,eye lash glue -170,1,Rs.  170.00,Rs.  0.00,Rs.  170.00
2022,October,Gampaha,eye lash glue birthday-250,2,Rs.  600.00,Rs.  440.00,Rs.  160.00
2022,October,Gampaha,eye lash glue-200,1,Rs.  250.00,Rs.  190.00,Rs.  60.00
2022,October,Gampaha,eye lash-100,3,Rs.  540.00,Rs.  420.00,Rs.  120.00
2022,October,Gampaha,Eye liner - 450,6,"Rs.  3,300.00","Rs.  3,000.00",Rs.  300.00
2022,October,Gampaha,eye liner kajal-120,3,Rs.  450.00,Rs.  255.00,Rs.  195.00
2022,October,Gampaha,eye liner pen-450,6,"Rs.  2,700.00","Rs.  2,100.00",Rs.  600.00
2022,October,Gampaha,eye pad-300,7,"Rs.  2,450.00","Rs.  1,750.00",Rs.  700.00
2022,October,Gampaha,eye shadow - 150,1,Rs.  150.00,Rs.  100.00,Rs.  50.00
2022,October,Gampaha,eye shadow - 600,1,Rs.  600.00,Rs.  450.00,Rs.  150.00
2022,October,Gampaha,Eye shadow brush - 100,3,Rs.  300.00,Rs.  240.00,Rs.  60.00
2022,October,Gampaha,fa dio .L,2,"Rs.  1,300.00","Rs.  1,120.00",Rs.  180.00
2022,October,Gampaha,face capsul loose,20,Rs.  200.00,Rs.  140.00,Rs.  60.00
2022,October,Gampaha,Facial sponch - 220,4,Rs.  800.00,Rs.  600.00,Rs.  200.00
2022,October,Gampaha,facial sponch -100,1,Rs.  100.00,Rs.  70.00,Rs.  30.00
2022,October,Gampaha,faiza cream,4,"Rs.  3,600.00","Rs.  2,200.00","Rs.  1,400.00"
